symbol,date,open,high,low,close,volume
FISUSDT,2025-10-22,0.0696,0.0708,0.0687,0.0692,7905264.0
OMUSDT,2025-10-22,0.1168,0.1183,0.1119,0.1137,21142294.1
PONDUSDT,2025-10-22,0.00587,0.00594,0.00574,0.00576,54443350.0
DEGOUSDT,2025-10-22,1.556,1.75,1.556,1.641,2993984.8
ALICEUSDT,2025-10-22,0.3224,0.3316,0.3173,0.3184,6686724.63
LINAUSDT,2025-03-28,0.000333,0.000347,0.000316,0.000337,506367904.0
PERPUSDT,2025-10-22,0.2198,0.2271,0.217,0.2204,1317823.46
RAMPUSDT,2022-07-04,0.0503,0.0549,0.0502,0.0524,15637030.0
SUPERUSDT,2025-10-22,0.385,0.3917,0.3739,0.376,3189288.0
CFXUSDT,2025-10-22,0.1092,0.1103,0.1064,0.1066,30598559.0
EPSUSDT,2022-05-09,0.182,0.1918,0.1671,0.1679,13665860.0
AUTOUSDT,2023-04-18,102.5,103.8,95.1,95.3,4281.543
TKOUSDT,2025-10-22,0.132,0.1329,0.1274,0.1283,2127689.2
PUNDIXUSDT,2025-10-22,0.3547,0.3706,0.3394,0.3418,6611526.0
TLMUSDT,2025-10-22,0.00346,0.00351,0.00334,0.00337,151193161.0
1INCHUPUSDT,2021-12-02,0.07058,0.07061,0.063919,0.065703,1893109.01
1INCHDOWNUSDT,2021-12-02,0.005852,0.006221,0.005827,0.006148,25790796.42
BTGUSDT,2022-10-24,18.75,19.43,17.59,17.65,53537.48
MIRUSDT,2022-12-27,0.14834,0.15401,0.14116,0.14168,3857439.9
BARUSDT,2025-10-22,0.792,0.801,0.77,0.77,504548.22
FORTHUSDT,2025-10-22,2.161,2.182,2.111,2.117,152550.32
BAKEUSDT,2025-09-17,0.0501,0.0555,0.0456,0.0519,51194747.3
BURGERUSDT,2025-03-28,0.0262,0.0265,0.0166,0.0172,16672604.4
SLPUSDT,2025-10-22,0.001189,0.001213,0.001153,0.001159,756472858.0
SHIBUSDT,2025-10-22,1.005e-05,1.01e-05,9.75e-06,9.84e-06,1168871901302.0
ICPUSDT,2025-10-22,3.045,3.074,2.953,2.966,3081862.71
ARUSDT,2025-10-22,3.89,4.0,3.8,3.82,1124437.66
POLSUSDT,2024-07-22,0.3085,0.3153,0.3066,0.3079,219939.0
MDXUSDT,2024-07-22,0.02929,0.0383,0.025,0.0345,41269612.4
MASKUSDT,2025-10-22,0.847,0.856,0.825,0.827,1115169.9
LPTUSDT,2025-10-22,4.944,4.999,4.778,4.845,373505.73
NUUSDT,2022-02-16,0.5466,0.5588,0.5407,0.5436,1052153.0
XVGUSDT,2025-10-22,0.005681,0.005999,0.005435,0.005505,467448398.0
ATAUSDT,2025-10-22,0.0298,0.0302,0.0289,0.0289,8253758.0
GTCUSDT,2025-10-22,0.21,0.214,0.2,0.201,2080293.5
TORNUSDT,2022-12-27,4.15,4.39,4.0,4.06,50527.52
KEEPUSDT,2022-02-16,0.6224,0.67,0.6162,0.6251,5445440.0
ERNUSDT,2025-03-10,2.055,2.21,2.049,2.183,294452.2
KLAYUSDT,2024-10-30,0.1255,0.1255,0.1255,0.1255,0.0
PHAUSDT,2025-10-22,0.0591,0.0601,0.0578,0.058,7888760.0
BONDUSDT,2024-07-22,1.793,2.17,1.743,2.152,1447110.17
MLNUSDT,2025-10-22,8.68,9.03,8.22,8.58,1154053.215
DEXEUSDT,2025-10-22,6.575,6.716,6.421,6.664,170998.13
C98USDT,2025-10-22,0.0373,0.0381,0.0359,0.0362,23522400.2
CLVUSDT,2025-02-24,0.0305,0.03187,0.02062,0.02937,28255141.6
QNTUSDT,2025-10-22,81.8,82.16,80.08,80.41,17212.528
FLOWUSDT,2025-10-22,0.269,0.275,0.264,0.269,1818005.38
TVKUSDT,2023-11-27,0.05249,0.05468,0.0518,0.05405,27971346.0
MINAUSDT,2025-10-22,0.1048,0.1061,0.1014,0.1017,17098932.2
RAYUSDT,2025-10-22,1.769,1.804,1.681,1.688,2221514.5
FARMUSDT,2025-10-22,22.24,22.75,21.4,21.46,81715.12
ALPACAUSDT,2025-05-02,0.2892,0.3943,0.214,0.2244,23130359.7
QUICKUSDT,2025-10-22,0.01843,0.01893,0.01821,0.01835,21491568.0
MBOXUSDT,2025-10-22,0.0479,0.0488,0.0468,0.047,10656231.1
FORUSDT,2024-08-26,0.00376,0.00385,0.003,0.00306,137019355.0
REQUSDT,2025-10-22,0.1255,0.1267,0.1237,0.1237,1334509.0
GHSTUSDT,2025-10-22,0.297,0.302,0.287,0.293,700175.6
WAXPUSDT,2025-10-22,0.01312,0.01346,0.013,0.01304,28169160.0
TRIBEUSDT,2022-11-28,0.2016,0.203,0.1983,0.2018,123942.0
GNOUSDT,2025-10-22,125.15,125.65,122.54,123.11,3718.078
XECUSDT,2025-10-22,1.432e-05,1.453e-05,1.399e-05,1.403e-05,41313309569.0
ELFUSDT,2025-04-16,0.2116,0.2374,0.2098,0.2272,1723425.7
DYDXUSDT,2025-10-22,0.329,0.3354,0.3152,0.3162,9331282.73
POLYUSDT,2022-10-10,0.2625,0.273,0.2604,0.2696,6536327.2
IDEXUSDT,2025-10-22,0.01891,0.01938,0.01869,0.01875,11986770.3
VIDTUSDT,2025-04-16,0.00156,0.00158,0.00105,0.00115,162556670.0
USDPUSDT,2025-10-22,0.9996,1.0001,0.9995,0.9995,156107.0
GALAUSDT,2025-10-22,0.01091,0.011,0.01051,0.01055,635029858.0
ILVUSDT,2025-10-22,11.07,11.15,10.69,10.77,80558.941
YGGUSDT,2025-10-22,0.1398,0.1414,0.1345,0.1353,18678552.0
SYSUSDT,2025-10-22,0.02879,0.02924,0.0278,0.028,12880875.0
DFUSDT,2025-10-22,0.01896,0.01952,0.01882,0.01893,25595050.0
FIDAUSDT,2025-10-22,0.0575,0.0588,0.0561,0.0563,14901109.9
FRONTUSDT,2024-08-27,0.837,0.888,0.836,0.88,825187.7
